fecha,Embalse,C2RCC,C2X,C2XC,Medicion
2022-06-01,Jaime Ozores,41.51887893676758,139.8143310546875,493.1688537597656,199.83
2022-06-01,Llerena,43.99916076660156,30.32130241394043,41.275569915771484,30.43
2022-06-01,Los Angeles,,,,
2022-06-01,Los Huertos,,,,63.4
2022-06-01,Madronnera,,,,6.67
2022-06-01,Majadillas,,,,
2022-06-01,Majarrobledo,,,,
2022-06-01,Membrio,,,,
2022-06-01,Navarredonda,,,,10.53
2022-06-01,Navas del Madronno,2.6135172843933105,36.16460418701172,140.41270446777344,29.38
2022-06-01,Nogales,59.71788787841797,176.92796325683594,176.92796325683594,96.46
2022-06-01,Palomero,,,,
2022-06-01,Pretura del Molino,,,,
2022-06-01,Ribera del Castanno,,,,
2022-06-01,Rubiales,0.008418846875429153,51.17955017089844,1205.9962158203125,47.49
2022-06-01,San Marcos,,,,35.68
2022-06-01,Santa Lucia,,,,
2022-06-01,Talavan,52.70662307739258,26.7259521484375,104.9599838256836,72.17
2022-06-01,Tres Torres,,,,331.88
2022-06-01,la Pesga,,,,
2022-11-01,Acebo,1.3062212467193604,34.14523696899414,176.76986694335938,11.5
2022-11-01,Aguijon,3.568772792816162,5.577057361602783,261.62322998046875,166.96
2022-11-01,Alcuescar,,,,12.35
2022-11-01,Aldea del Cano,15.711077690124512,65.36180114746094,259.65484619140625,46.81
2022-11-01,Aliseda,7.626046657562256,0.00024908484192565084,1.6009284257888794,14.32
2022-11-01,Alpotrel,10.57620620727539,18.88274383544922,17.141510009765625,18.13
2022-11-01,Arrocerezal,1.0097788572311401,65.33163452148438,54.60538101196289,18.95
2022-11-01,Brozas,,,,40.0
2022-11-01,Burguillos del Cerro,42.06892013549805,238.73448181152344,3206.01708984375,201.095
2022-11-01,Cantalgallo,,,,12.2
2022-11-01,Carrascalejo,,,,13.24
2022-11-01,El Santo,34.588016510009766,30.239850997924805,225.39892578125,62.78
2022-11-01,Garciaz,,,,16.42
2022-11-01,Garganta del Obispo,0.01076002512127161,0.02075127698481083,0.06991223245859146,85.33
2022-11-01,Guadalupe,,,,17.09
2022-11-01,Hervas,,,,19.42
2022-11-01,Jaime Ozores,175.71067810058594,305.0118408203125,568.8960571289062,211.82
2022-11-01,Llerena,88.49412536621094,223.11572265625,711.7144165039062,147.12
2022-11-01,Los Angeles,,,,45.73
2022-11-01,Los Huertos,,,,70.55
2022-11-01,Madronnera,,,,38.93
2022-11-01,Majadillas,0.06586141884326935,4.33866548538208,13.073640823364258,25.99
2022-11-01,Majarrobledo,,,,20.48
2022-11-01,Membrio,,,,60.76
2022-11-01,Navarredonda,,,,3.39
2022-11-01,Navas del Madronno,,,,30.53
2022-11-01,Nogales,6.211979389190674,11.780858039855957,307.15985107421875,45.815
2022-11-01,Palomero,,,,44.83
2022-11-01,Pretura del Molino,6.05792236328125,0.067528136074543,9.318524360656738,8.41
2022-11-01,Ribera del Castanno,,,,26.99
2022-11-01,Rubiales,9.823238372802734,138.96566772460938,2006.9935302734375,204.58
2022-11-01,San Marcos,,,,27.47
2022-11-01,Santa Lucia,,,,11.94
2022-11-01,Talavan,40.75862503051758,45.38448715209961,131.48245239257812,45.02
2022-11-01,Tres Torres,,,,278.23
2022-11-01,la Pesga,,,,20.13
