fecha;Embalse;Estado;C2RCC;C2X;C2XC;Medicion
01/06/2021;Garganta del Obispo;Hypertrophic;;;;
01/11/2021;Garganta del Obispo;Hypertrophic;;;;1,90
01/06/2022;Garganta del Obispo;Hypertrophic;;;;
01/11/2022;Garganta del Obispo;Hypertrophic;0,79;67,61;63,21;85,33
01/06/2017;Guadalupe;Eutrophic;;;;
01/11/2017;Guadalupe;Eutrophic;;;;
01/06/2018;Guadalupe;Eutrophic;;;;
01/11/2018;Guadalupe;Eutrophic;;;;
01/06/2019;Guadalupe;Eutrophic;;;;
01/11/2019;Guadalupe;Eutrophic;;;;
01/06/2020;Guadalupe;Eutrophic;;;;
01/11/2020;Guadalupe;Eutrophic;;;;7,29
01/06/2021;Guadalupe;Eutrophic;;;;
01/11/2021;Guadalupe;Eutrophic;;;;7,60
01/06/2022;Guadalupe;Eutrophic;;;;
01/11/2022;Guadalupe;Eutrophic;;;;17,09
01/06/2017;Hervas;Eutrophic;;;;
01/11/2017;Hervas;Eutrophic;;;;
01/06/2018;Hervas;Eutrophic;;;;
01/11/2018;Hervas;Eutrophic;;;;
01/06/2019;Hervas;Eutrophic;;;;
01/11/2019;Hervas;Eutrophic;;;;
01/06/2020;Hervas;Eutrophic;;;;
01/11/2020;Hervas;Eutrophic;;;;8,42
01/06/2021;Hervas;Eutrophic;;;;
01/11/2021;Hervas;Eutrophic;13,58;347,93;390,31;12,93
01/06/2022;Hervas;Eutrophic;;;;
01/11/2022;Hervas;Eutrophic;12,52;689,47;615,89;19,42
01/06/2017;Jaime Ozores;Hypertrophic;24,72;126,45;292,74;18,00
01/11/2017;Jaime Ozores;Hypertrophic;98,39;887,81;2428,52;74,00
01/06/2018;Jaime Ozores;Hypertrophic;14,62;225,58;204,20;14,00
01/11/2018;Jaime Ozores;Hypertrophic;31,54;684,48;1173,06;39,00
01/06/2019;Jaime Ozores;Hypertrophic;13,32;153,21;153,21;14,56
01/11/2019;Jaime Ozores;Hypertrophic;;;;200,00
01/06/2020;Jaime Ozores;Hypertrophic;;;;
01/11/2020;Jaime Ozores;Hypertrophic;37,34;139,34;808,85;35,68
01/06/2021;Jaime Ozores;Hypertrophic;30,98;533,84;1263,66;43,74
01/11/2021;Jaime Ozores;Hypertrophic;;;;7,28
01/06/2022;Jaime Ozores;Hypertrophic;72,49;600,22;1164,89;199,83
01/11/2022;Jaime Ozores;Hypertrophic;278,72;2782,40;1540,88;211,82
01/06/2017;la Pesga;Eutrophic;;;;
01/11/2017;la Pesga;Eutrophic;;;;
01/06/2018;la Pesga;Eutrophic;;;;
01/11/2018;la Pesga;Eutrophic;;;;
01/06/2019;la Pesga;Eutrophic;;;;
01/11/2019;la Pesga;Eutrophic;;;;
01/06/2020;la Pesga;Eutrophic;;;;
01/11/2020;la Pesga;Eutrophic;;;;6,24
01/06/2021;la Pesga;Eutrophic;;;;
01/11/2021;la Pesga;Eutrophic;;;;33,45
01/06/2022;la Pesga;Eutrophic;;;;
01/11/2022;la Pesga;Eutrophic;;;;20,13
01/06/2017;Llerena;Hypertrophic;;;;
01/11/2017;Llerena;Hypertrophic;;;;
01/06/2018;Llerena;Hypertrophic;;;;
01/11/2018;Llerena;Hypertrophic;;;;
01/06/2019;Llerena;Hypertrophic;;;;
01/11/2019;Llerena;Hypertrophic;;;;
01/06/2020;Llerena;Hypertrophic;;;;
01/11/2020;Llerena;Hypertrophic;41,01;83,61;496,88;44,85
01/06/2021;Llerena;Hypertrophic;;;;
01/11/2021;Llerena;Hypertrophic;44,10;150,68;191,11;38,37
01/06/2022;Llerena;Hypertrophic;51,27;200,79;260,94;30,43
01/11/2022;Llerena;Hypertrophic;154,34;1141,04;4408,35;147,12
01/06/2017;Los Angeles;Hypertrophic;;;;
01/11/2017;Los Angeles;Hypertrophic;;;;
01/06/2018;Los Angeles;Hypertrophic;;;;
01/11/2018;Los Angeles;Hypertrophic;;;;
01/06/2019;Los Angeles;Hypertrophic;;;;
01/11/2019;Los Angeles;Hypertrophic;;;;
01/06/2020;Los Angeles;Hypertrophic;;;;
01/11/2020;Los Angeles;Hypertrophic;;;;3,99
01/06/2021;Los Angeles;Hypertrophic;;;;
01/11/2021;Los Angeles;Hypertrophic;;;;41,63
01/06/2022;Los Angeles;Hypertrophic;;;;
01/11/2022;Los Angeles;Hypertrophic;;;;45,73
01/06/2017;Los Huertos;Hypertrophic;;;;
01/11/2017;Los Huertos;Hypertrophic;;;;
01/06/2018;Los Huertos;Hypertrophic;;;;
01/11/2018;Los Huertos;Hypertrophic;;;;
01/06/2019;Los Huertos;Hypertrophic;;;;
01/11/2019;Los Huertos;Hypertrophic;;;;
01/06/2020;Los Huertos;Hypertrophic;;;;
01/11/2020;Los Huertos;Hypertrophic;25,47;132,70;977,16;32,54
01/06/2021;Los Huertos;Hypertrophic;33,66;140,99;820,82;26,69
01/11/2021;Los Huertos;Hypertrophic;;;;
01/06/2022;Los Huertos;Hypertrophic;;;;63,40
01/11/2022;Los Huertos;Hypertrophic;;;;70,55
01/06/2017;Madronnera;Eutrophic;;;;
01/11/2017;Madronnera;Eutrophic;;;;
01/06/2018;Madronnera;Eutrophic;;;;
01/11/2018;Madronnera;Eutrophic;;;;
01/06/2019;Madronnera;Eutrophic;;;;
01/11/2019;Madronnera;Eutrophic;;;;
01/06/2020;Madronnera;Eutrophic;;;;
01/11/2020;Madronnera;Eutrophic;;;;19,76
01/06/2021;Madronnera;Eutrophic;1,88;8,33;40,88;3,57
01/11/2021;Madronnera;Eutrophic;7,81;16,70;46,29;13,12
01/06/2022;Madronnera;Eutrophic;;;;6,67
01/11/2022;Madronnera;Eutrophic;;;;38,93
01/06/2017;Majadillas;Eutrophic;;;;
01/11/2017;Majadillas;Eutrophic;;;;
01/06/2018;Majadillas;Eutrophic;;;;
01/11/2018;Majadillas;Eutrophic;;;;
01/06/2019;Majadillas;Eutrophic;;;;
01/11/2019;Majadillas;Eutrophic;;;;
01/06/2020;Majadillas;Eutrophic;;;;
01/11/2020;Majadillas;Eutrophic;3,15;40,75;162,18;5,16
01/06/2021;Majadillas;Eutrophic;;;;
01/11/2021;Majadillas;Eutrophic;0,56;14,48;86,44;2,78
01/06/2022;Majadillas;Eutrophic;;;;
01/11/2022;Majadillas;Eutrophic;20,14;66,17;790,17;25,99
01/06/2017;Majarrobledo;Mesotrophic;;;;
01/11/2017;Majarrobledo;Mesotrophic;;;;
01/06/2018;Majarrobledo;Mesotrophic;;;;
01/11/2018;Majarrobledo;Mesotrophic;;;;
01/06/2019;Majarrobledo;Mesotrophic;;;;
01/11/2019;Majarrobledo;Mesotrophic;;;;
01/06/2020;Majarrobledo;Mesotrophic;;;;
01/11/2020;Majarrobledo;Mesotrophic;;;;0,40
01/06/2021;Majarrobledo;Mesotrophic;;;;
01/11/2021;Majarrobledo;Mesotrophic;2,69;26,71;54,24;2,27
01/06/2022;Majarrobledo;Mesotrophic;;;;
01/11/2022;Majarrobledo;Mesotrophic;;;;20,48
01/06/2017;Membrio;Hypertrophic;;;;
01/11/2017;Membrio;Hypertrophic;;;;
01/06/2018;Membrio;Hypertrophic;;;;
01/11/2018;Membrio;Hypertrophic;;;;
01/06/2019;Membrio;Hypertrophic;;;;
01/11/2019;Membrio;Hypertrophic;;;;
01/06/2020;Membrio;Hypertrophic;;;;
01/11/2020;Membrio;Hypertrophic;;;;19,53
01/06/2021;Membrio;Hypertrophic;;;;
01/11/2021;Membrio;Hypertrophic;55,68;279,72;783,50;44,41
01/06/2022;Membrio;Hypertrophic;;;;
01/11/2022;Membrio;Hypertrophic;;;;60,76
01/06/2017;Navarredonda;Hypertrophic;;;;
01/11/2017;Navarredonda;Hypertrophic;;;;
01/06/2018;Navarredonda;Hypertrophic;;;;
01/11/2018;Navarredonda;Hypertrophic;;;;
01/06/2019;Navarredonda;Hypertrophic;;;;
01/11/2019;Navarredonda;Hypertrophic;;;;
01/06/2020;Navarredonda;Hypertrophic;;;;
01/11/2020;Navarredonda;Hypertrophic;;;;101,63
01/06/2021;Navarredonda;Hypertrophic;136,41;3885,49;5064,74;74,28
01/11/2021;Navarredonda;Hypertrophic;209,85;2068,30;5224,71;164,61
01/06/2022;Navarredonda;Hypertrophic;;;;10,53
01/11/2022;Navarredonda;Hypertrophic;;;;3,39
01/06/2017;Navas del Madronno;Hypertrophic;;;;
01/11/2017;Navas del Madronno;Hypertrophic;;;;
01/06/2018;Navas del Madronno;Hypertrophic;;;;
01/11/2018;Navas del Madronno;Hypertrophic;;;;
01/06/2019;Navas del Madronno;Hypertrophic;;;;
01/11/2019;Navas del Madronno;Hypertrophic;;;;
01/06/2020;Navas del Madronno;Hypertrophic;;;;
01/11/2020;Navas del Madronno;Hypertrophic;50,32;82,78;82,78;31,19
01/06/2021;Navas del Madronno;Hypertrophic;15,56;26,40;36,07;10,48
01/11/2021;Navas del Madronno;Hypertrophic;;;;33,63
01/06/2022;Navas del Madronno;Hypertrophic;42,12;157,22;756,15;29,38
01/11/2022;Navas del Madronno;Hypertrophic;;;;30,53
01/06/2017;Nogales;Hypertrophic;;;;
01/11/2017;Nogales;Hypertrophic;;;;
01/06/2018;Nogales;Hypertrophic;;;;
01/11/2018;Nogales;Hypertrophic;;;;
01/06/2019;Nogales;Hypertrophic;;;;
01/11/2019;Nogales;Hypertrophic;;;;
01/06/2020;Nogales;Hypertrophic;;;;
01/11/2020;Nogales;Hypertrophic;;;;37,27
01/06/2021;Nogales;Hypertrophic;;;;94,00
01/11/2021;Nogales;Hypertrophic;36,26;235,41;744,11;26,83
01/06/2022;Nogales;Hypertrophic;92,96;2601,06;2601,06;96,46
01/11/2022;Nogales;Hypertrophic;51,11;785,61;1530,71;45,82
01/06/2017;Palomero;Eutrophic;;;;
01/11/2017;Palomero;Eutrophic;;;;
01/06/2018;Palomero;Eutrophic;;;;
01/11/2018;Palomero;Eutrophic;;;;
01/06/2019;Palomero;Eutrophic;;;;
01/11/2019;Palomero;Eutrophic;;;;
01/06/2020;Palomero;Eutrophic;;;;
01/11/2020;Palomero;Eutrophic;4,16;6,96;5,37;2,35
01/06/2021;Palomero;Eutrophic;;;;
01/11/2021;Palomero;Eutrophic;29,78;79,91;86,79;18,75
01/06/2022;Palomero;Eutrophic;;;;
01/11/2022;Palomero;Eutrophic;;;;44,83
01/06/2017;Pretura del Molino;Mesotrophic;;;;
01/11/2017;Pretura del Molino;Mesotrophic;;;;
01/06/2018;Pretura del Molino;Mesotrophic;;;;
01/11/2018;Pretura del Molino;Mesotrophic;;;;
01/06/2019;Pretura del Molino;Mesotrophic;;;;
01/11/2019;Pretura del Molino;Mesotrophic;;;;
01/06/2020;Pretura del Molino;Mesotrophic;;;;
01/11/2020;Pretura del Molino;Mesotrophic;5,77;34,78;81,87;5,58
01/06/2021;Pretura del Molino;Mesotrophic;;;;
01/11/2021;Pretura del Molino;Mesotrophic;3,62;63,84;163,84;7,14
01/06/2022;Pretura del Molino;Mesotrophic;;;;
01/11/2022;Pretura del Molino;Mesotrophic;11,10;73,95;182,46;8,41
01/06/2017;Ribera del Castanno;Eutrophic;;;;
01/11/2017;Ribera del Castanno;Eutrophic;;;;
01/06/2018;Ribera del Castanno;Eutrophic;;;;
01/11/2018;Ribera del Castanno;Eutrophic;;;;
01/06/2019;Ribera del Castanno;Eutrophic;;;;
01/11/2019;Ribera del Castanno;Eutrophic;;;;
01/06/2020;Ribera del Castanno;Eutrophic;;;;
01/11/2020;Ribera del Castanno;Eutrophic;;;;10,51
01/06/2021;Ribera del Castanno;Eutrophic;;;;
01/11/2021;Ribera del Castanno;Eutrophic;15,21;88,13;659,11;20,89
01/06/2022;Ribera del Castanno;Eutrophic;;;;
01/11/2022;Ribera del Castanno;Eutrophic;;;;26,99
01/06/2017;Rubiales;Hypertrophic;;;;
01/11/2017;Rubiales;Hypertrophic;;;;
01/06/2018;Rubiales;Hypertrophic;;;;
01/11/2018;Rubiales;Hypertrophic;;;;
01/06/2019;Rubiales;Hypertrophic;;;;
01/11/2019;Rubiales;Hypertrophic;;;;
01/06/2020;Rubiales;Hypertrophic;;;;
01/11/2020;Rubiales;Hypertrophic;;;;74,74
01/06/2021;Rubiales;Hypertrophic;;;;
01/11/2021;Rubiales;Hypertrophic;39,73;2069,98;2269,88;70,85
01/06/2022;Rubiales;Hypertrophic;29,97;925,43;1508,55;47,49
01/11/2022;Rubiales;Hypertrophic;276,08;3213,58;6829,00;204,58
01/06/2017;San Marcos;Eutrophic;;;;
01/11/2017;San Marcos;Eutrophic;;;;
01/06/2018;San Marcos;Eutrophic;;;;
01/11/2018;San Marcos;Eutrophic;;;;
01/06/2019;San Marcos;Eutrophic;;;;
01/11/2019;San Marcos;Eutrophic;;;;
01/06/2020;San Marcos;Eutrophic;;;;
01/11/2020;San Marcos;Eutrophic;10,20;40,72;188,99;6,30
01/06/2021;San Marcos;Eutrophic;45,45;277,17;720,25;18,88
01/11/2021;San Marcos;Eutrophic;14,49;247,43;584,97;27,73
01/06/2022;San Marcos;Eutrophic;26,19;458,04;478,37;35,68
01/11/2022;San Marcos;Eutrophic;26,56;290,32;1129,55;27,47
01/06/2017;Santa Lucia;Eutrophic;;;;
01/11/2017;Santa Lucia;Eutrophic;;;;
01/06/2018;Santa Lucia;Eutrophic;;;;
01/11/2018;Santa Lucia;Eutrophic;;;;
01/06/2019;Santa Lucia;Eutrophic;;;;
01/11/2019;Santa Lucia;Eutrophic;;;;
01/06/2020;Santa Lucia;Eutrophic;;;;
01/11/2020;Santa Lucia;Eutrophic;7,88;6,27;93,21;4,22
01/06/2021;Santa Lucia;Eutrophic;;;;
01/11/2021;Santa Lucia;Eutrophic;7,79;31,68;211,51;10,39
01/06/2022;Santa Lucia;Eutrophic;;;;
01/11/2022;Santa Lucia;Eutrophic;;;;11,94
01/06/2017;Talavan;Hypertrophic;15,00;19,17;32,96;10,80
01/11/2017;Talavan;Hypertrophic;11,58;106,93;253,01;9,00
01/06/2018;Talavan;Hypertrophic;10,15;46,28;164,26;8,00
01/11/2018;Talavan;Hypertrophic;49,25;128,34;971,75;32,00
01/06/2019;Talavan;Hypertrophic;3,76;17,24;90,00;3,00
01/11/2019;Talavan;Hypertrophic;10,09;247,99;158,06;10,00
01/06/2020;Talavan;Hypertrophic;;;;
01/11/2020;Talavan;Hypertrophic;;;;11,67
01/06/2021;Talavan;Hypertrophic;19,09;87,32;795,39;42,95
01/11/2021;Talavan;Hypertrophic;41,69;92,97;192,94;35,06
01/06/2022;Talavan;Hypertrophic;74,49;565,79;2108,46;72,17
01/11/2022;Talavan;Hypertrophic;65,13;540,44;381,99;45,02
01/06/2017;Tres Torres;Hypertrophic;;;;
01/11/2017;Tres Torres;Hypertrophic;;;;
