,fecha,Embalse,Buffer,Estado,Cmax,Cmean,Cmean2,Cmin,Cmin2,Medicion
108,2017-11-01,Garciaz,,Eutrophic,,,,,,
109,2017-11-01,Garganta del Obispo,,Hypertrophic,,,,,,
110,2017-11-01,Guadalupe,,Eutrophic,,,,,,
111,2017-11-01,Hervas,,Eutrophic,,,,,,
112,2017-11-01,Jaime Ozores,,Hypertrophic,,,,,,74.0
113,2017-11-01,Jaime Ozores,1.0,Hypertrophic,1.2610421180725098,1.2610421180725098,,1.2610421180725098,,
114,2017-11-01,Jaime Ozores,2.0,Hypertrophic,58.34962463378906,17.309587478637695,17.309587478637695,1.2610421180725098,1.2610421180725098,
115,2017-11-01,Jaime Ozores,3.0,Hypertrophic,66.59103393554688,15.773919105529783,15.773919105529783,0.6399883031845093,0.6399883031845093,
116,2017-11-01,Jaime Ozores,4.0,Hypertrophic,67.76564025878906,19.846885681152344,19.846885681152344,0.6399883031845093,0.6399883031845093,
117,2017-11-01,Jaime Ozores,5.0,Hypertrophic,77.5376205444336,18.6776180267334,18.6776180267334,0.0583546794950962,0.0583546794950962,
118,2017-11-01,Jaime Ozores,6.0,Hypertrophic,77.5376205444336,13.436684608459473,13.436684608459473,0.0139874443411827,0.0139874443411827,
119,2017-11-01,Jaime Ozores,7.0,Hypertrophic,77.5376205444336,14.502389907836914,14.502389907836914,0.0,0.0,
120,2017-11-01,Jaime Ozores,8.0,Hypertrophic,91.0446319580078,18.286624908447266,18.286624908447266,0.0,0.0,
121,2017-11-01,Jaime Ozores,9.0,Hypertrophic,98.3906707763672,18.688594818115234,18.688594818115234,0.0,0.0,
122,2017-11-01,Jaime Ozores,10.0,Hypertrophic,98.3906707763672,17.532438278198242,17.532438278198242,0.0,0.0,
123,2017-11-01,Jaime Ozores,11.0,Hypertrophic,98.3906707763672,16.595703125,16.595703125,0.0,0.0,
124,2017-11-01,Jaime Ozores,12.0,Hypertrophic,98.3906707763672,14.96066951751709,14.96066951751709,0.0,0.0,
125,2017-11-01,Jaime Ozores,13.0,Hypertrophic,98.3906707763672,15.533211708068848,15.533211708068848,0.0,0.0,
126,2017-11-01,Jaime Ozores,14.0,Hypertrophic,98.3906707763672,14.296043395996094,14.296043395996094,0.0,0.0,
127,2017-11-01,Jaime Ozores,15.0,Hypertrophic,98.3906707763672,14.930131912231444,14.930131912231444,0.0,0.0,
128,2017-11-01,Jaime Ozores,16.0,Hypertrophic,98.3906707763672,13.864202499389648,13.864202499389648,0.0,0.0,
129,2017-11-01,Jaime Ozores,17.0,Hypertrophic,98.3906707763672,12.96810245513916,12.96810245513916,0.0,0.0,
130,2017-11-01,Jaime Ozores,18.0,Hypertrophic,98.3906707763672,12.145367622375488,12.145367622375488,0.0,0.0,
131,2017-11-01,Jaime Ozores,19.0,Hypertrophic,112.4075927734375,11.87953281402588,11.87953281402588,0.0,0.0,
132,2017-11-01,Jaime Ozores,20.0,Hypertrophic,112.4075927734375,10.99082851409912,10.99082851409912,0.0,0.0,
133,2017-11-01,Llerena,,Hypertrophic,,,,,,
134,2017-11-01,Los Angeles,,Hypertrophic,,,,,,
135,2017-11-01,Los Huertos,,Hypertrophic,,,,,,
136,2017-11-01,Madronnera,,Eutrophic,,,,,,
137,2017-11-01,Majadillas,,Eutrophic,,,,,,
138,2017-11-01,Majarrobledo,,Mesotrophic,,,,,,
139,2017-11-01,Membrio,,Hypertrophic,,,,,,
140,2017-11-01,Navarredonda,,Hypertrophic,,,,,,
141,2017-11-01,Navas del Madronno,,Hypertrophic,,,,,,
142,2017-11-01,Nogales,,Hypertrophic,,,,,,
143,2017-11-01,Palomero,,Eutrophic,,,,,,
144,2017-11-01,Pretura del Molino,,Mesotrophic,,,,,,
145,2017-11-01,Ribera del Castanno,,Eutrophic,,,,,,
146,2017-11-01,Rubiales,,Hypertrophic,,,,,,
147,2017-11-01,San Marcos,,Eutrophic,,,,,,
148,2017-11-01,Santa Lucia,,Eutrophic,,,,,,
149,2017-11-01,Talavan,,Hypertrophic,,,,,,9.0
150,2017-11-01,Talavan,1.0,Hypertrophic,2.6268129348754883,2.6268129348754883,,2.6268129348754883,,
151,2017-11-01,Talavan,2.0,Hypertrophic,2.6268129348754883,2.039681196212769,2.237299680709839,1.446825385093689,1.6825257539749146,
152,2017-11-01,Talavan,3.0,Hypertrophic,6.536707878112793,4.240354061126709,5.004833698272705,1.446825385093689,2.4025607109069824,
153,2017-11-01,Talavan,4.0,Hypertrophic,6.536707878112793,2.661616563796997,4.251217365264893,0.0,1.446825385093689,
154,2017-11-01,Talavan,5.0,Hypertrophic,8.091012954711914,3.728194236755371,5.173953533172607,0.0,1.446825385093689,
155,2017-11-01,Talavan,6.0,Hypertrophic,8.091012954711914,2.8754258155822754,2.8754258155822754,0.0,0.0,
156,2017-11-01,Talavan,7.0,Hypertrophic,11.583481788635254,3.622514009475708,5.719944000244141,0.0,1.060215711593628,
