,Embalse,Tipo,Año,Estación,Concentración
266,Majadillas,Medicion,2018,v,
267,Majadillas,Medicion,2018,o,
268,Majadillas,Medicion,2019,v,
269,Majadillas,Medicion,2019,o,
270,Majadillas,Medicion,2020,v,
271,Majadillas,Medicion,2020,o,5.16
272,Majadillas,Medicion,2021,v,
273,Majadillas,Medicion,2021,o,2.78
274,Majadillas,Medicion,2022,v,
275,Majadillas,Medicion,2022,o,25.99
276,Majarrobledo,Medicion,2017,v,
277,Majarrobledo,Medicion,2017,o,
278,Majarrobledo,Medicion,2018,v,
279,Majarrobledo,Medicion,2018,o,
280,Majarrobledo,Medicion,2019,v,
281,Majarrobledo,Medicion,2019,o,
282,Majarrobledo,Medicion,2020,v,
283,Majarrobledo,Medicion,2020,o,0.4
284,Majarrobledo,Medicion,2021,v,
285,Majarrobledo,Medicion,2021,o,2.27
286,Majarrobledo,Medicion,2022,v,
287,Majarrobledo,Medicion,2022,o,20.48
288,Membrio,Medicion,2017,v,
289,Membrio,Medicion,2017,o,
290,Membrio,Medicion,2018,v,
291,Membrio,Medicion,2018,o,
292,Membrio,Medicion,2019,v,
293,Membrio,Medicion,2019,o,
294,Membrio,Medicion,2020,v,
295,Membrio,Medicion,2020,o,19.53
296,Membrio,Medicion,2021,v,
297,Membrio,Medicion,2021,o,44.41
298,Membrio,Medicion,2022,v,
299,Membrio,Medicion,2022,o,60.76
300,Navarredonda,Medicion,2017,v,
301,Navarredonda,Medicion,2017,o,
302,Navarredonda,Medicion,2018,v,
303,Navarredonda,Medicion,2018,o,
304,Navarredonda,Medicion,2019,v,
305,Navarredonda,Medicion,2019,o,
306,Navarredonda,Medicion,2020,v,
307,Navarredonda,Medicion,2020,o,101.63
308,Navarredonda,Medicion,2021,v,74.28
309,Navarredonda,Medicion,2021,o,164.61
310,Navarredonda,Medicion,2022,v,10.53
311,Navarredonda,Medicion,2022,o,3.39
312,Navas del Madronno,Medicion,2017,v,
313,Navas del Madronno,Medicion,2017,o,
314,Navas del Madronno,Medicion,2018,v,
315,Navas del Madronno,Medicion,2018,o,
316,Navas del Madronno,Medicion,2019,v,
317,Navas del Madronno,Medicion,2019,o,
318,Navas del Madronno,Medicion,2020,v,
319,Navas del Madronno,Medicion,2020,o,31.19
320,Navas del Madronno,Medicion,2021,v,10.48
321,Navas del Madronno,Medicion,2021,o,33.63
322,Navas del Madronno,Medicion,2022,v,29.38
323,Navas del Madronno,Medicion,2022,o,30.53
324,Nogales,Medicion,2017,v,
325,Nogales,Medicion,2017,o,
326,Nogales,Medicion,2018,v,
327,Nogales,Medicion,2018,o,
328,Nogales,Medicion,2019,v,
329,Nogales,Medicion,2019,o,
330,Nogales,Medicion,2020,v,
331,Nogales,Medicion,2020,o,37.27
332,Nogales,Medicion,2021,v,94.0
333,Nogales,Medicion,2021,o,26.83
334,Nogales,Medicion,2022,v,96.46
335,Nogales,Medicion,2022,o,45.815
336,Palomero,Medicion,2017,v,
337,Palomero,Medicion,2017,o,
338,Palomero,Medicion,2018,v,
339,Palomero,Medicion,2018,o,
340,Palomero,Medicion,2019,v,
341,Palomero,Medicion,2019,o,
342,Palomero,Medicion,2020,v,
343,Palomero,Medicion,2020,o,2.35
344,Palomero,Medicion,2021,v,
345,Palomero,Medicion,2021,o,18.75
346,Palomero,Medicion,2022,v,
347,Palomero,Medicion,2022,o,44.83
348,Pretura del Molino,Medicion,2017,v,
349,Pretura del Molino,Medicion,2017,o,
350,Pretura del Molino,Medicion,2018,v,
351,Pretura del Molino,Medicion,2018,o,
352,Pretura del Molino,Medicion,2019,v,
353,Pretura del Molino,Medicion,2019,o,
354,Pretura del Molino,Medicion,2020,v,
