fecha,Embalse,Estado,Cmax,Cmea2,Cmean,Cmin,Cmin2,Medicion
2019-06-01,Talavan,Hypertrophic,3.7570037841796875,2.1723434925079346,1.5567530393600464,0.0,0.5766682624816895,3.0
2019-06-01,Tres Torres,Hypertrophic,,,,,,
2019-06-01,la Pesga,Eutrophic,,,,,,
2019-11-01,Acebo,Mesotrophic,,,,,,
2019-11-01,Aguijon,Hypertrophic,,,,,,
2019-11-01,Alcuescar,Hypertrophic,,,,,,
2019-11-01,Aldea del Cano,Hypertrophic,,,,,,
2019-11-01,Aliseda,Eutrophic,,,,,,
2019-11-01,Alpotrel,Eutrophic,,,,,,
2019-11-01,Arrocerezal,Eutrophic,,,,,,
2019-11-01,Brozas,Hypertrophic,,,,,,
2019-11-01,Burguillos del Cerro,Hypertrophic,,,,,,
2019-11-01,Cantalgallo,Eutrophic,,,,,,
2019-11-01,Carrascalejo,Eutrophic,,,,,,
2019-11-01,El Santo,Hypertrophic,,,,,,
2019-11-01,Garciaz,Eutrophic,,,,,,
2019-11-01,Garganta del Obispo,Hypertrophic,,,,,,
2019-11-01,Guadalupe,Eutrophic,,,,,,
2019-11-01,Hervas,Eutrophic,,,,,,
2019-11-01,Jaime Ozores,Hypertrophic,0.0,,0.0,0.0,,200.0
2019-11-01,Llerena,Hypertrophic,,,,,,
2019-11-01,Los Angeles,Hypertrophic,,,,,,
2019-11-01,Los Huertos,Hypertrophic,,,,,,
2019-11-01,Madronnera,Eutrophic,,,,,,
2019-11-01,Majadillas,Eutrophic,,,,,,
2019-11-01,Majarrobledo,Mesotrophic,,,,,,
2019-11-01,Membrio,Hypertrophic,,,,,,
2019-11-01,Navarredonda,Hypertrophic,,,,,,
2019-11-01,Navas del Madronno,Hypertrophic,,,,,,
2019-11-01,Nogales,Hypertrophic,,,,,,
2019-11-01,Palomero,Eutrophic,,,,,,
2019-11-01,Pretura del Molino,Mesotrophic,,,,,,
2019-11-01,Ribera del Castanno,Eutrophic,,,,,,
2019-11-01,Rubiales,Hypertrophic,,,,,,
2019-11-01,San Marcos,Eutrophic,,,,,,
2019-11-01,Santa Lucia,Eutrophic,,,,,,
2019-11-01,Talavan,Hypertrophic,9.069146156311035,2.2115418910980225,2.2115418910980225,0.0,0.0,10.0
2019-11-01,Tres Torres,Hypertrophic,,,,,,
2019-11-01,la Pesga,Eutrophic,,,,,,
2020-06-01,Acebo,Mesotrophic,,,,,,
2020-06-01,Aguijon,Hypertrophic,,,,,,
2020-06-01,Alcuescar,Hypertrophic,,,,,,
2020-06-01,Aldea del Cano,Hypertrophic,,,,,,
2020-06-01,Aliseda,Eutrophic,,,,,,
2020-06-01,Alpotrel,Eutrophic,,,,,,
2020-06-01,Arrocerezal,Eutrophic,,,,,,
2020-06-01,Brozas,Hypertrophic,,,,,,
2020-06-01,Burguillos del Cerro,Hypertrophic,,,,,,
2020-06-01,Cantalgallo,Eutrophic,,,,,,
2020-06-01,Carrascalejo,Eutrophic,,,,,,
2020-06-01,El Santo,Hypertrophic,,,,,,
2020-06-01,Garciaz,Eutrophic,,,,,,
2020-06-01,Garganta del Obispo,Hypertrophic,,,,,,
2020-06-01,Guadalupe,Eutrophic,,,,,,
2020-06-01,Hervas,Eutrophic,,,,,,
2020-06-01,Jaime Ozores,Hypertrophic,,,,,,
2020-06-01,Llerena,Hypertrophic,,,,,,
2020-06-01,Los Angeles,Hypertrophic,,,,,,
2020-06-01,Los Huertos,Hypertrophic,,,,,,
2020-06-01,Madronnera,Eutrophic,,,,,,
2020-06-01,Majadillas,Eutrophic,,,,,,
2020-06-01,Majarrobledo,Mesotrophic,,,,,,
2020-06-01,Membrio,Hypertrophic,,,,,,
2020-06-01,Navarredonda,Hypertrophic,,,,,,
2020-06-01,Navas del Madronno,Hypertrophic,,,,,,
2020-06-01,Nogales,Hypertrophic,,,,,,
2020-06-01,Palomero,Eutrophic,,,,,,
2020-06-01,Pretura del Molino,Mesotrophic,,,,,,
2020-06-01,Ribera del Castanno,Eutrophic,,,,,,
2020-06-01,Rubiales,Hypertrophic,,,,,,
2020-06-01,San Marcos,Eutrophic,,,,,,
2020-06-01,Santa Lucia,Eutrophic,,,,,,
2020-06-01,Talavan,Hypertrophic,,,,,,
2020-06-01,Tres Torres,Hypertrophic,,,,,,
2020-06-01,la Pesga,Eutrophic,,,,,,
2020-11-01,Acebo,Mesotrophic,,,,,,2.5
2020-11-01,Aguijon,Hypertrophic,0.0,,0.0,0.0,,5.27
2020-11-01,Alcuescar,Hypertrophic,,,,,,16.3
2020-11-01,Aldea del Cano,Hypertrophic,,,,,,131.6
2020-11-01,Aliseda,Eutrophic,,,,,,12.65
2020-11-01,Alpotrel,Eutrophic,28.132478713989258,15.263416290283203,12.237016677856445,0.018428100273013115,5.1067938804626465,25.0
2020-11-01,Arrocerezal,Eutrophic,,,,,,0.73
2020-11-01,Brozas,Hypertrophic,64.2960205078125,35.021995544433594,28.009117126464844,0.0,12.39384937286377,36.57
2020-11-01,Burguillos del Cerro,Hypertrophic,18.964670181274414,13.12878131866455,10.7883939743042,0.0,7.038327217102051,14.88
2020-11-01,Cantalgallo,Eutrophic,12.584478378295898,4.771018028259277,3.707200050354004,0.0,1.7389267683029175,8.2
